County,Party,Votes by Party (2012),Percentage by Party (2012),Votes by County (2012),Percentage of NC Votes (2012),Votes by Party (2016),Percentage by Party (2016),Votes by County (2016),Percentage of NC Votes (2016)
ALAMANCE,DEM,28875,0.42687974926820615,67642,0.015053965892781277,29833,0.4235055292931874,70443,0.01504525879882693
ALAMANCE,LIB,597,0.008825877413441353,67642,0.015053965892781277,1795,0.02548159504847891,70443,0.01504525879882693
ALAMANCE,REP,38170,0.5642943733183525,67642,0.015053965892781277,38815,0.5510128756583337,70443,0.01504525879882693
ALEXANDER,DEM,4611,0.26922403222981256,17127,0.003811674312493198,3767,0.2081560479637509,18097,0.0038651682705502454
ALEXANDER,LIB,263,0.015355870847200326,17127,0.003811674312493198,437,0.024147648781566007,18097,0.0038651682705502454
ALEXANDER,REP,12253,0.7154200969229871,17127,0.003811674312493198,13893,0.7676963032546831,18097,0.0038651682705502454
ALLEGHANY,DEM,1583,0.313713832738803,5046,0.0011230051136124643,1306,0.2488092970089541,5249,0.0011210846135888952
ALLEGHANY,LIB,73,0.014466904478795084,5046,0.0011230051136124643,129,0.024576109735187656,5249,0.0011210846135888952
ALLEGHANY,REP,3390,0.6718192627824019,5046,0.0011230051136124643,3814,0.7266145932558583,5249,0.0011210846135888952
ANSON,DEM,7019,0.6245773269264994,11238,0.0025010565728848344,5859,0.5583190394511149,10494,0.0022413149047441168
ANSON,LIB,53,0.004716141662217476,11238,0.0025010565728848344,129,0.012292738707833047,10494,0.0022413149047441168
ANSON,REP,4166,0.3707065314112831,11238,0.0025010565728848344,4506,0.429388221841052,10494,0.0022413149047441168
ASHE,DEM,4116,0.32828202265114054,12538,0.002790376162202354,3500,0.2642706131078224,13244,0.0028286615778950904
ASHE,LIB,180,0.014356356675705855,12538,0.002790376162202354,332,0.02506795530051344,13244,0.0028286615778950904
ASHE,REP,8242,0.6573616206731536,12538,0.002790376162202354,9412,0.7106614315916642,13244,0.0028286615778950904
AVERY,DEM,1882,0.24324673646116066,7737,0.0017218966634997299,1689,0.2071630074819085,8153,0.0017413227004363238
AVERY,LIB,89,0.011503166602042135,7737,0.0017218966634997299,166,0.020360603458849505,8153,0.0017413227004363238
AVERY,REP,5766,0.7452500969367972,7737,0.0017218966634997299,6298,0.772476389059242,8153,0.0017413227004363238
BEAUFORT,DEM,9435,0.40028000509100164,23571,0.005245809261387118,8764,0.36927484936586186,23733,0.005068908579597115
BEAUFORT,LIB,159,0.006745577192312588,23571,0.005245809261387118,426,0.01794969030463911,23733,0.005068908579597115
BEAUFORT,REP,13977,0.5929744177166858,23571,0.005245809261387118,14543,0.612775460329499,23733,0.005068908579597115
BERTIE,DEM,6695,0.661626642948908,10119,0.0022520191725415237,5778,0.6210232158211522,9304,0.0019871539807260587
BERTIE,LIB,37,0.0036564877952366833,10119,0.0022520191725415237,70,0.007523645743766122,9304,0.0019871539807260587
BERTIE,REP,3387,0.3347168692558553,10119,0.0022520191725415237,3456,0.3714531384350817,9304,0.0019871539807260587
BLADEN,DEM,8062,0.506057372418555,15931,0.00354550029032108,7058,0.4461441213653603,15820,0.0033788452251812392
BLADEN,LIB,121,0.007595254535182977,15931,0.00354550029032108,212,0.013400758533501896,15820,0.0033788452251812392
BLADEN,REP,7748,0.486347373046262,15931,0.00354550029032108,8550,0.5404551201011378,15820,0.0033788452251812392
BRUNSWICK,DEM,22038,0.38494323144104803,57250,0.012741189606483074,23282,0.3438030685627372,67719,0.014463465221494838
BRUNSWICK,LIB,469,0.008192139737991266,57250,0.012741189606483074,1717,0.02535477487854221,67719,0.014463465221494838
BRUNSWICK,REP,34743,0.6068646288209607,57250,0.012741189606483074,42720,0.6308421565587206,67719,0.014463465221494838
BUNCOMBE,DEM,70625,0.5558966366777649,127047,0.0282747583569407,75452,0.5570345433471389,135453,0.028930134152115955
BUNCOMBE,LIB,1721,0.013546167953591978,127047,0.0282747583569407,4285,0.03163458911947317,135453,0.028930134152115955
BUNCOMBE,REP,54701,0.4305571953686431,127047,0.0282747583569407,55716,0.411330867533388,135453,0.028930134152115955
BURKE,DEM,13701,0.37627705152147645,36412,0.00810361914325348,11251,0.29240845180237546,38477,0.008217941070120008
BURKE,LIB,444,0.012193782269581456,36412,0.00810361914325348,988,0.025677677573615408,38477,0.008217941070120008
BURKE,REP,22267,0.6115291662089422,36412,0.00810361914325348,26238,0.6819138706240091,38477,0.008217941070120008
CABARRUS,DEM,32849,0.3943788793776188,83293,0.018537151194633967,35521,0.3855697631504678,92126,0.019676327131166047
CABARRUS,LIB,887,0.010649154190628264,83293,0.018537151194633967,2786,0.030241191411762153,92126,0.019676327131166047
CABARRUS,REP,49557,0.594971966431753,83293,0.018537151194633967,53819,0.5841890454377701,92126,0.019676327131166047
CALDWELL,DEM,10898,0.3149164884702075,34606,0.007701687467632371,8425,0.2347123554812648,35895,0.007666475939183349
CALDWELL,LIB,479,0.01384153037045599,34606,0.007701687467632371,849,0.02365231926452152,35895,0.007666475939183349
CALDWELL,REP,23229,0.6712419811593365,34606,0.007701687467632371,26621,0.7416353252542137,35895,0.007666475939183349
CAMDEN,DEM,1508,0.3216037534655577,4689,0.0010435535033152686,1274,0.25638961561682433,4969,0.0010612820432317053
CAMDEN,LIB,72,0.015355086372360844,4689,0.0010435535033152686,149,0.02998591265848259,4969,0.0010612820432317053
CAMDEN,REP,3109,0.6630411601620815,4689,0.0010435535033152686,3546,0.7136244717246931,4969,0.0010612820432317053
CARTERET,DEM,10301,0.290922955264347,35408,0.007880175398888255,9939,0.26559952967585043,37421,0.007992399947630034
CARTERET,LIB,332,0.00937641211025757,35408,0.007880175398888255,913,0.02439806525747575,37421,0.007992399947630034
CARTERET,REP,24775,0.6997006326253954,35408,0.007880175398888255,26569,0.7100024050666738,37421,0.007992399947630034
CASWELL,DEM,5348,0.4850353709414112,11026,0.0024538752244730546,4792,0.43437273386511965,11032,0.0023562212720732887
CASWELL,LIB,84,0.007618356611645202,11026,0.0024538752244730546,214,0.01939811457577955,11032,0.0023562212720732887
CASWELL,REP,5594,0.5073462724469436,11026,0.0024538752244730546,6026,0.5462291515591008,11032,0.0023562212720732887
CATAWBA,DEM,24069,0.34693053893941794,69377,0.015440096267755042,21216,0.2966733321214325,71513,0.015273790049834764
CATAWBA,LIB,770,0.011098779134295227,69377,0.015440096267755042,1973,0.027589389341797995,71513,0.015273790049834764
CATAWBA,REP,44538,0.6419706819262868,69377,0.015440096267755042,48324,0.6757372785367696,71513,0.015273790049834764
CHATHAM,DEM,18361,0.519317796130784,35356,0.007868602615315556,21065,0.5360050890585242,39300,0.008393717910848465
CHATHAM,LIB,330,0.009333635026586719,35356,0.007868602615315556,1130,0.02875318066157761,39300,0.008393717910848465
CHATHAM,REP,16665,0.47134856884262927,35356,0.007868602615315556,17105,0.4352417302798982,39300,0.008393717910848465
CHEROKEE,DEM,3378,0.2636590696222292,12812,0.0028513558294892775,2860,0.20355871886120996,14050,0.0030008075482804305
CHEROKEE,LIB,156,0.012176084920387137,12812,0.0028513558294892775,346,0.024626334519572954,14050,0.0030008075482804305
CHEROKEE,REP,9278,0.7241648454573837,12812,0.0028513558294892775,10844,0.7718149466192171,14050,0.0030008075482804305
CHOWAN,DEM,3556,0.47463961558996265,7492,0.0016673710485898897,2992,0.4174107142857143,7168,0.001530945801144066
CHOWAN,LIB,45,0.00600640683395622,7492,0.0016673710485898897,162,0.022600446428571428,7168,0.001530945801144066
CHOWAN,REP,3891,0.5193539775760811,7492,0.0016673710485898897,4014,0.5599888392857143,7168,0.001530945801144066
CLAY,DEM,1579,0.2810108560242036,5619,0.0012505282864424172,1367,0.22986379687237263,5947,0.0012701638782650336
CLAY,LIB,67,0.011923829862964941,5619,0.0012505282864424172,143,0.02404573734656129,5947,0.0012701638782650336
CLAY,REP,3973,0.7070653141128315,5619,0.0012505282864424172,4437,0.7460904657810661,5947,0.0012701638782650336
CLEVELAND,DEM,17062,0.3946704910827878,43231,0.00962121166598899,14964,0.33784119386810557,44293,0.009460125888682214
CLEVELAND,LIB,376,0.008697462469061553,43231,0.00962121166598899,850,0.01919039125821236,44293,0.009460125888682214
CLEVELAND,REP,25793,0.5966320464481506,43231,0.00962121166598899,28479,0.6429684148736821,44293,0.009460125888682214
COLUMBUS,DEM,11050,0.45708376421923474,24175,0.005380231593654643,9063,0.3833594179603232,23641,0.005049259163622609
COLUMBUS,LIB,184,0.007611168562564633,24175,0.005380231593654643,306,0.01294361490630684,23641,0.005049259163622609
COLUMBUS,REP,12941,0.5353050672182006,24175,0.005380231593654643,14272,0.60369696713337,23641,0.005049259163622609
CRAVEN,DEM,18763,0.4072185085510895,46076,0.01025437645953387,17630,0.37856176590582125,46571,0.00994666251465964
CRAVEN,LIB,385,0.00835576004861533,46076,0.01025437645953387,1210,0.025981834188658178,46571,0.00994666251465964
CRAVEN,REP,26928,0.5844257314002952,46076,0.01025437645953387,27731,0.5954563999055206,46571,0.00994666251465964
CUMBERLAND,DEM,75792,0.5949837107979746,127385,0.028349981450163254,71605,0.5671997655315543,126243,0.026963056748581238
CUMBERLAND,LIB,927,0.007277151940966362,127385,0.028349981450163254,3373,0.02671831309458742,126243,0.026963056748581238
CUMBERLAND,REP,50666,0.397739137261059,127385,0.028349981450163254,51265,0.40608192137385835,126243,0.026963056748581238
CURRITUCK,DEM,3562,0.31628485171372756,11262,0.0025063978576106965,2913,0.23196368848542762,12558,0.002682145280519975
CURRITUCK,LIB,204,0.018114011720831113,11262,0.0025063978576106965,482,0.038381907947125336,12558,0.002682145280519975
CURRITUCK,REP,7496,0.6656011365654413,11262,0.0025063978576106965,9163,0.729654403567447,12558,0.002682145280519975
DARE,DEM,7393,0.41306291205721307,17898,0.003983263084311512,7222,0.37311427980987805,19356,0.0041340662565491825
DARE,LIB,257,0.014359146273326628,17898,0.003983263084311512,674,0.03482124405868981,19356,0.0041340662565491825
DARE,REP,10248,0.5725779416694603,17898,0.003983263084311512,11460,0.5920644761314321,19356,0.0041340662565491825
DAVIDSON,DEM,20624,0.29136939660652983,70783,0.015753006531278452,18109,0.2437773440129232,74285,0.015865835496370946
DAVIDSON,LIB,776,0.010963084356413263,70783,0.015753006531278452,1859,0.025025240627313722,74285,0.015865835496370946
DAVIDSON,REP,49383,0.6976675190370569,70783,0.015753006531278452,54317,0.7311974153597631,74285,0.015865835496370946
DAVIE,DEM,5735,0.27811454342660397,20621,0.004589276347166593,5270,0.2450820815700135,21503,0.004592623822823779
DAVIE,LIB,199,0.009650356432762717,20621,0.004589276347166593,631,0.029344742594056644,21503,0.004592623822823779
DAVIE,REP,14687,0.7122351001406333,20621,0.004589276347166593,15602,0.7255731758359298,21503,0.004592623822823779
DUPLIN,DEM,9033,0.43911331486072624,20571,0.004578148670654381,8283,0.39898843930635836,20760,0.004433933430768807
DUPLIN,LIB,122,0.005930679111370376,20571,0.004578148670654381,260,0.012524084778420038,20760,0.004433933430768807
DUPLIN,REP,11416,0.5549560060279034,20571,0.004578148670654381,12217,0.5884874759152215,20760,0.004433933430768807
DURHAM,DEM,111224,0.7600174930301208,146344,0.03256937383006391,121250,0.7893931601117194,153599,0.03280576787247871
DURHAM,LIB,1351,0.009231673317662495,146344,0.03256937383006391,3999,0.02603532575081869,153599,0.03280576787247871
DURHAM,REP,33769,0.23075083365221669,146344,0.03256937383006391,28350,0.18457151413746184,153599,0.03280576787247871
EDGECOMBE,DEM,18310,0.6796837299083114,26939,0.005995369551249738,16224,0.6550123137793209,24769,0.005290178089918718
EDGECOMBE,LIB,83,0.0030810349307695164,26939,0.005995369551249738,284,0.011465945334894425,24769,0.005290178089918718
EDGECOMBE,REP,8546,0.3172352351609191,26939,0.005995369551249738,8261,0.3335217408857846,24769,0.005290178089918718
FORSYTH,DEM,92323,0.5316307727743868,173660,0.03864864606221573,94464,0.5373103766018804,175809,0.03754939318545439
FORSYTH,LIB,1569,0.009034895773350225,173660,0.03864864606221573,5370,0.030544511373137895,175809,0.03754939318545439
FORSYTH,REP,79768,0.45933433145226304,173660,0.03864864606221573,75975,0.4321451120249817,175809,0.03754939318545439
FRANKLIN,DEM,13436,0.47465291270710425,28307,0.006299822780623867,12874,0.4288617209100903,30019,0.006411476284116031
FRANKLIN,LIB,268,0.009467622849471863,28307,0.006299822780623867,777,0.02588360704886905,30019,0.006411476284116031
FRANKLIN,REP,14603,0.5158794644434239,28307,0.006299822780623867,16368,0.5452546720410407,30019,0.006411476284116031
GASTON,DEM,33171,0.36760273061749194,90236,0.020082340355119768,31177,0.3267344372249004,95420,0.0203798616552967
GASTON,LIB,927,0.01027306174919101,90236,0.020082340355119768,2445,0.025623559002305597,95420,0.0203798616552967
GASTON,REP,56138,0.6221242076333171,90236,0.020082340355119768,61798,0.647642003772794,95420,0.0203798616552967
GATES,DEM,2786,0.517555266579974,5383,0.0011980056533047753,2385,0.44438233650083847,5367,0.0011462871253822826
GATES,LIB,33,0.00613041055173695,5383,0.0011980056533047753,108,0.020122973728339856,5367,0.0011462871253822826
GATES,REP,2564,0.47631432286828906,5383,0.0011980056533047753,2874,0.5354946897708217,5367,0.0011462871253822826
GRAHAM,DEM,1119,0.2853136155022947,3922,0.0008728549456179321,768,0.18618181818181817,4125,0.0008810200097264609
GRAHAM,LIB,53,0.013513513513513514,3922,0.0008728549456179321,74,0.01793939393939394,4125,0.0008810200097264609
GRAHAM,REP,2750,0.7011728709841918,3922,0.0008728549456179321,3283,0.7958787878787879,4125,0.0008810200097264609
GRANVILLE,DEM,13598,0.5187898210674907,26211,0.005833350581231927,12909,0.4764171833480957,27096,0.005787180165708651
GRANVILLE,LIB,208,0.007935599557437717,26211,0.005833350581231927,596,0.021995866548568055,27096,0.005787180165708651
GRANVILLE,REP,12405,0.47327457937507156,26211,0.005833350581231927,13591,0.5015869501033363,27096,0.005787180165708651
GREENE,DEM,3778,0.4591080325677482,8229,0.001831393000379899,3605,0.4470486111111111,8064,0.001722314026287074
GREENE,LIB,40,0.004860857941426662,8229,0.001831393000379899,85,0.010540674603174604,8064,0.001722314026287074
GREENE,REP,4411,0.5360311094908251,8229,0.001831393000379899,4374,0.5424107142857143,8064,0.001722314026287074
GUILFORD,DEM,146365,0.5779261546480086,253259,0.05636368451612745,149248,0.5874425341646199,254064,0.05426314369724693
GUILFORD,LIB,2105,0.008311649339214007,253259,0.05636368451612745,6754,0.026583852887461425,254064,0.05426314369724693
GUILFORD,REP,104789,0.4137621960127774,253259,0.05636368451612745,98062,0.38597361294791865,254064,0.05426314369724693
HALIFAX,DEM,17176,0.6593727206418672,26049,0.00579729690933236,15748,0.6281862060712433,25069,0.005354252272444278
HALIFAX,LIB,110,0.00422281085646282,26049,0.00579729690933236,290,0.01156807212094619,25069,0.005354252272444278
HALIFAX,REP,8763,0.33640446850166994,26049,0.00579729690933236,9031,0.36024572180781045,25069,0.005354252272444278
HARNETT,DEM,17331,0.40002308136180037,43325,0.00964213169783195,16737,0.36701532793895136,45603,0.009739916485710496
HARNETT,LIB,429,0.009901904212348529,43325,0.00964213169783195,1252,0.027454334144683464,45603,0.009739916485710496
HARNETT,REP,25565,0.5900750144258511,43325,0.00964213169783195,27614,0.6055303379163651,45603,0.009739916485710496
HAYWOOD,DEM,11833,0.4248375399418375,27853,0.006198783477892979,10473,0.3455637311512192,30307,0.00647298749934057
HAYWOOD,LIB,387,0.013894374035112914,27853,0.006198783477892979,905,0.029861088197446133,30307,0.00647298749934057
HAYWOOD,REP,15633,0.5612680860230496,27853,0.006198783477892979,18929,0.6245751806513347,30307,0.00647298749934057
HENDERSON,DEM,18642,0.3569554810914313,52225,0.011622858117005738,19827,0.3462505675666236,57262,0.012230052799262207
HENDERSON,LIB,589,0.011278123504068932,52225,0.011622858117005738,1626,0.02839579476790891,57262,0.012230052799262207
HENDERSON,REP,32994,0.6317663954044997,52225,0.011622858117005738,35809,0.6253536376654675,57262,0.012230052799262207
HERTFORD,DEM,7843,0.7191454245369522,10906,0.002427168800843745,6910,0.6813251824097811,10142,0.002166134530580792
HERTFORD,LIB,56,0.005134788189987163,10906,0.002427168800843745,133,0.013113784263458883,10142,0.002166134530580792
HERTFORD,REP,3007,0.2757197872730607,10906,0.002427168800843745,3099,0.30556103332676,10142,0.002166134530580792
HOKE,DEM,10076,0.5905521040909624,17062,0.003797208333027322,9726,0.5384487626640093,18063,0.0038579065298640154
HOKE,LIB,167,0.009787832610479427,17062,0.003797208333027322,577,0.03194375242207828,18063,0.0038579065298640154
HOKE,REP,6819,0.3996600632985582,17062,0.003797208333027322,7760,0.42960748491391243,18063,0.0038579065298640154
HYDE,DEM,1163,0.48906644238856184,2378,0.0005292322949208165,965,0.420479302832244,2295,0.00049016749632054
HYDE,LIB,22,0.009251471825063078,2378,0.0005292322949208165,42,0.018300653594771243,2295,0.00049016749632054
HYDE,REP,1193,0.5016820857863751,2378,0.0005292322949208165,1288,0.5612200435729847,2295,0.00049016749632054
IREDELL,DEM,26076,0.3425553716402617,76122,0.01694121982925248,24734,0.3028418204302524,81673,0.017443769031367087
IREDELL,LIB,747,0.009813194608654529,76122,0.01694121982925248,2185,0.026753027316248942,81673,0.017443769031367087
IREDELL,REP,49299,0.6476314337510838,76122,0.01694121982925248,54754,0.6704051522534987,81673,0.017443769031367087
JACKSON,DEM,8095,0.4867708959711365,16630,0.003701065207961808,7713,0.42090040927694405,18325,0.003913864649269671
